master_metadata_album_artist_name,artist_genre,macro_genre
Bequem,unknown,unknown
El negro tecla,rkt,unknown
TypeHeat,unknown,unknown
Ramones,punk,Pop/Rock
Dwayne Johnson,unknown,unknown
Yes,progressive rock,Pop/Rock
Frank Sinatra,christmas,unknown
Skrillex,dubstep,unknown
Las Culisueltas,cumbia,Regional
Los Violadores,latin rock,Pop/Rock
DJ Shadow,trip hop,unknown
The Soundtrack Studio Stars,unknown,unknown
John La Barbera Big Band,big band,unknown
Luis Ángel Gómez Jaramillo,unknown,unknown
Travie McCoy,unknown,unknown
Sebastian Yatra,colombian pop,Pop/Rock
Ghost Town DJs,miami bass,unknown
Scissor Sisters,unknown,unknown
Internet Money,unknown,unknown
Eric Johnson,unknown,unknown
Fountains Of Wayne,power pop,Pop/Rock
Beyoncé,unknown,unknown
Lil Eazzyy,unknown,unknown
KAYTRANADA,unknown,unknown
Ronald Reggae,reggae,unknown
Fleetwood Mac,classic rock,Pop/Rock
Paul Landry,new age,unknown
Hippie Sabotage,unknown,unknown
Junona Boys,slap house,Electronica
Lenny Kravitz,unknown,unknown
Smokie,glam rock,Pop/Rock
Donna Summer,disco,unknown
Mr. Probz,unknown,unknown
Johannes Bornlöf,unknown,unknown
Dead Or Alive,hi-nrg,unknown
Avicii,edm,Electronica
Studio Allstars,unknown,unknown
LP Giobbi,house,Electronica
John Coltrane,jazz,Otros
Isaac Hayes,soul,Otros
The Jacksons,disco,unknown
Rae Sremmurd,unknown,unknown
Michael Sembello,unknown,unknown
Fer Palacio,rkt,unknown
The Who,classic rock,Pop/Rock
The Doobie Brothers,classic rock,Pop/Rock
Electric Light Orchestra,symphonic rock,Pop/Rock
KC & The Sunshine Band,disco,unknown
Twisted Sister,glam metal,unknown
Samuel E. Wright,unknown,unknown
High School Musical Cast,unknown,unknown
Spinetta Jade,argentine rock,Pop/Rock
The Buggles,unknown,unknown
Ray Charles,jazz blues,Otros
Aretha Franklin,soul,Otros
Zoe Gotusso,latin indie,Pop/Rock
Rick James,funk,Otros
Max Graef,jazz house,Electronica
Johnny Nash,unknown,unknown
Eric Prydz,unknown,unknown
Lil Wayne,rap,Urban
The Smiths,new wave,Pop/Rock
guardin,emo rap,Pop/Rock
Miles Davis,jazz,Otros
Smash Mouth,unknown,unknown
Limahl,synthpop,Pop/Rock
Piero,trova,unknown
Kool & The Gang,disco,unknown
Etta James,soul,Otros
LOUTA,argentine trap,Urban
BIG MAKK,moombahton,unknown
Boston,classic rock,Pop/Rock
Black Sabbath,metal,unknown
Martha Reeves & The Vandellas,motown,unknown
Snarky Puppy,jazz fusion,Otros
Harry Styles,unknown,unknown
Erasure,synthpop,Pop/Rock
KSHMR,big room,unknown
Nirvana,grunge,Pop/Rock
Nio Garcia,reggaeton,Urban
November,unknown,unknown
Kygo,tropical house,Electronica
Meter Mobb,unknown,unknown
Andy Timmons,unknown,unknown
Miley Cyrus,unknown,unknown
Julie Andrews,musicals,unknown
Roy Orbison,rockabilly,Pop/Rock
Antonio Vivaldi,classical,Otros
Matt Simons,unknown,unknown
Alcides,cuarteto,unknown
Diego Ruiz,argentine rock,Pop/Rock
Bruce Hornsby,,unknown
New Radicals,unknown,unknown
The Deli,lo-fi,unknown
Jonas Blue,tropical house,Electronica
Paul McCartney,unknown,unknown
Howard Jones,new wave,Pop/Rock
Jack Stauber,unknown,unknown
Ozuna,reggaeton,Urban
Charly Black,dancehall,unknown
Cheat Codes,unknown,unknown
Chuck Berry,rockabilly,Pop/Rock
Kansas,classic rock,Pop/Rock
KISS,glam metal,unknown
Men Without Hats,synthpop,Pop/Rock
Huey Lewis & The News,unknown,unknown
The Family,disco,unknown
Kevin Kiner,soundtrack,unknown
Goldspot,unknown,unknown
Train,soft pop,Pop/Rock
Duck Sauce,disco house,Electronica
Dj Jules,vaporwave,unknown
Leon Haywood,unknown,unknown
Franz Ferdinand,indie rock,Pop/Rock
Oscar Peterson,jazz,Otros
R3HAB,slap house,Electronica
The Knack,power pop,Pop/Rock
Catupecu Machu,argentine rock,Pop/Rock
DNCE,unknown,unknown
David Bowie,glam rock,Pop/Rock
Run–D.M.C.,east coast hip hop,Urban
Masego,unknown,unknown
Nina Simone,vocal jazz,Otros
Gary Moore,blues,Otros
Ella Es Tan Cargosa,argentine rock,Pop/Rock
Halconizados de Amor,cumbia,Regional
Ella Fitzgerald,vocal jazz,Otros
Peter La Anguila,unknown,unknown
Solomon Burke,soul,Otros
Steve Lacy,unknown,unknown
American Authors,unknown,unknown
Ozzy Osbourne,metal,unknown
The Rembrandts,unknown,unknown
Coolio,west coast hip hop,Urban
Sam Rollins,unknown,unknown
5 Seconds of Summer,unknown,unknown
The Pointer Sisters,disco,unknown
Tiago PZK,argentine trap,Urban
George Michael,unknown,unknown
Ben L'Oncle Soul,jazz blues,Otros
Four Tops,motown,unknown
Juice Newton,unknown,unknown
Soulja Boy,unknown,unknown
I'm Blue,unknown,unknown
Susan Egan,unknown,unknown
The Verve,britpop,Pop/Rock
Eric Clapton,blues,Otros
Farruko,reggaeton,Urban
Otis McDonald,jazz funk,Otros
Willy Crook,unknown,unknown
John Travolta,musicals,unknown
Y2K,unknown,unknown
PRETTYMUCH,unknown,unknown
Los Siete Delfines,argentine rock,Pop/Rock
The Notorious B.I.G.,gangster rap,Urban
Eladio Carrion,trap latino,Urban
Blur,britpop,Pop/Rock
The Foundations,unknown,unknown
Irene Cara,unknown,unknown
Perras on the beach,latin indie,Pop/Rock
Travis Scott,rap,Urban
HUTS,slap house,Electronica
Jason Derulo,unknown,unknown
Vaundy,j-pop,Pop/Rock
The Temptations,motown,unknown
a-ha,new wave,Pop/Rock
Dionne Warwick,unknown,unknown
DJ Tao,rkt,unknown
Ben E. King,unknown,unknown
G-Eazy,unknown,unknown
Arjun Kaul,unknown,unknown
Kaiser Chiefs,britpop,Pop/Rock
Dirty Loops,jazz funk,Otros
João Gilberto,bossa nova,unknown
